,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
i have 3 children. i have a law degree. i drive an suv. i have 3 dogs.,3,4,2,4,2,4,5,1,4,4,2,2,5,2,4,2,1,4,4,2,4,2,2,4,1,2,4,2,4,2,2,4,4,2,2,2,1,5,2,4,4,2,5,4,2,2,1,2,4,2,1,5,5,2,2,4,4,2,2,3
i went to law school. i am an excellent baker. i was born on christmas day. my landlord is raising my rent. everyone says my pecan pie is the best they have ever had.,3,4,2,3,1,4,5,1,4,4,2,1,4,2,4,2,2,4,4,2,2,1,2,3,1,2,4,2,3,1,2,4,3,4,3,2,1,4,4,5,3,2,4,3,2,4,1,1,3,1,2,4,4,2,2,4,3,2,2,4
i have 3 kids. i graduated with a statistics degree. i know how to count cards in blackjack. i am currently going back to school to try and become a casino manager.,2,4,2,2,5,4,5,1,4,5,2,2,4,2,4,2,2,5,4,1,4,2,2,4,1,2,4,2,4,2,2,4,2,4,2,2,1,4,2,4,2,2,4,4,2,2,1,1,2,2,1,4,5,2,2,4,4,2,2,3
i am married to a man. i love cats. i have five children. i like crocheting.,2,5,2,3,2,2,5,1,4,3,2,1,5,2,4,2,1,4,2,2,2,1,2,4,2,2,4,2,4,1,2,5,2,4,4,2,1,4,2,4,2,2,5,4,2,2,1,1,2,1,2,5,4,2,2,4,4,2,2,2
i do not have a job. i love the walking dead. i eat junk food. i am a couch potato. i love comics.,1,2,5,2,2,2,3,5,2,2,2,2,1,4,1,4,2,1,2,2,1,2,5,2,4,5,2,5,2,2,4,2,1,2,2,4,4,1,4,2,1,2,1,1,4,1,3,5,2,5,5,2,1,4,4,4,2,5,2,1
"i eat exclusively meat. my favorite movie is good burger. to stay in shape , i chase cheetahs at the zoo. in high school , i came in 6th in the 100 meter dash.",5,1,1,1,5,5,2,1,5,1,1,2,1,1,5,1,5,1,5,1,1,5,1,5,5,1,1,5,5,1,1,2,1,1,1,1,4,5,1,2,5,4,2,5,1,1,4,5,5,5,1,1,5,1,5,5,1,5,1,5
i m allergic to shellfish. i like horseback riding. my favorite food is cheese. i love going to concerts and dancing hard. i work at a non profit that helps children.,5,5,2,4,1,4,5,1,4,4,1,1,4,2,4,2,1,2,2,4,2,1,2,4,4,2,4,2,4,2,2,5,2,2,4,2,1,4,2,4,5,1,5,4,2,3,1,1,4,1,2,5,5,1,2,5,5,2,2,4
i enjoy spending time with my family. my favorite truck is a chevy duramax. i do not like vegetables. i love to go running. my favorite store is american eagle.,4,4,2,4,5,4,4,1,4,2,1,2,4,2,2,2,1,2,2,1,2,1,2,4,5,1,4,2,4,2,2,4,2,2,1,2,1,4,1,2,5,1,4,4,2,3,1,2,4,5,1,4,4,1,4,5,4,2,2,2
i love dancing. i like going to foreign countries. i am an only child. i dye my hair blonde. i have 3 cats.,5,4,2,4,1,4,5,1,4,5,1,1,2,2,3,2,1,2,3,4,2,1,2,4,2,1,4,4,3,1,2,4,2,2,4,2,1,2,2,3,5,2,2,2,2,3,1,2,4,1,2,4,2,2,2,5,4,4,2,4
i enjoy hiking. i have two border collies. i speak french and english fluently. i am planning to move to a new state soon. i am an artist.,3,5,2,4,1,3,5,1,4,5,1,1,4,2,5,2,1,2,2,5,2,1,2,4,1,1,4,2,4,1,2,4,2,2,5,2,1,4,2,4,4,2,4,4,1,2,1,1,3,1,1,5,4,2,2,5,4,2,2,5
i have an 18 year old son. i love animals. i spend time signing a lot of petitions and donate to animal rights groups. i volunteer walking dogs twice a week.,2,5,2,2,5,2,5,1,4,3,2,2,5,2,2,2,1,2,2,2,2,1,2,4,2,2,4,2,4,2,2,5,2,2,2,2,1,4,4,4,3,2,5,2,2,2,1,1,2,1,1,5,4,2,2,4,4,1,2,2
i like lizards. i wish i could live in a fantasy world. i draw during classes instead of taking notes. i don t have many friends. i have long hair for a boy.,1,4,5,2,1,1,3,4,2,4,2,2,2,4,4,5,2,1,2,5,1,1,4,2,4,4,3,4,2,1,5,2,1,4,5,5,1,2,4,4,2,2,2,2,1,1,2,4,2,4,2,2,2,4,2,4,2,4,4,4
i was a champion downhill skier in college. my sister is a published author. my favorite color is yellow. i sing karaoke every thursday night.,5,4,2,4,1,5,5,1,5,5,1,2,4,2,4,1,1,2,4,4,5,2,2,5,2,1,4,4,4,1,2,4,2,2,4,2,1,5,2,4,5,2,4,4,2,5,1,2,4,2,1,4,5,1,2,5,4,2,2,5
i am failing some of my classes. i fantasize about living in another country. i enjoy nature. i enjoy electronic music. i am in a lot of debt.,1,3,5,1,2,2,3,4,2,4,4,2,1,5,2,4,2,1,5,4,1,2,5,1,2,4,2,5,1,2,4,2,2,5,4,4,2,1,5,4,2,2,1,1,2,2,2,2,1,2,2,3,2,5,2,2,2,5,4,2
"i play quarterback. last season i was just getting started. this is my second year in the league. this season , i will become a playoff quarterback.",5,2,1,2,5,5,5,1,5,2,1,1,4,2,4,1,2,2,4,1,5,2,1,5,5,1,2,2,4,1,1,4,1,2,2,1,1,5,1,2,5,2,4,4,1,5,1,1,5,1,1,4,5,1,5,5,4,2,2,4
i do not like waking up early. i love the sound of the rain. i love photography. i like to use candles instead of lights. i enjoy spending a lot of money on my hobbies.,2,4,4,4,1,2,4,5,3,4,2,1,2,4,3,4,1,2,3,4,2,1,5,4,3,4,3,4,3,1,4,3,2,2,5,4,1,2,2,4,1,2,2,2,2,2,1,2,3,2,2,4,2,2,2,4,3,4,4,4
"i prefer the night to the day , but i love sunshine. i can never decide between a chili corn dog and a cheesy hot dog. i love dragons. i am a grandparent at 44.",2,5,2,4,2,2,5,2,4,5,2,2,4,4,4,2,1,2,4,3,2,2,2,4,2,2,4,4,3,1,4,5,2,2,4,2,2,2,2,5,2,2,4,2,2,2,1,2,2,2,2,4,4,2,2,4,4,4,4,4
i dye my hair blonde. i love dancing. i am an only child. i like going to foreign countries. i have 3 cats.,5,4,2,4,1,4,4,2,4,5,1,2,2,2,4,2,1,2,3,4,2,1,2,5,2,2,4,4,3,1,2,3,2,2,4,2,1,2,2,3,5,2,2,2,2,3,2,2,2,2,2,4,3,2,2,5,4,4,4,5
i am a roofer. i drive a lifted chevy truck. i played football in high school. my favorite food is steak cooked well done.,4,2,2,2,4,5,4,1,4,2,2,2,5,2,2,1,2,2,4,1,5,2,2,4,4,1,3,4,4,2,1,4,2,2,2,2,4,4,2,2,5,2,5,4,2,2,2,2,4,4,1,4,5,1,4,5,2,4,2,2
i have no children of my own. i m recently divorced. i m a children s librarian. i m very shy. i wear glasses.,1,5,2,2,2,1,5,2,2,4,4,1,4,2,2,5,1,4,4,4,1,1,4,2,2,4,4,2,2,2,5,5,4,5,4,5,1,3,4,4,1,2,4,2,2,1,1,1,2,2,4,5,4,4,2,2,4,1,2,2
i am a business man. i love to sing. my wife has terminal cancer. i have 3 children. i am a karate black belt.,4,5,2,2,1,4,5,1,5,4,2,2,5,4,4,2,1,4,5,5,5,1,2,2,2,1,4,2,2,1,2,5,4,5,5,2,2,5,5,5,4,2,5,2,2,4,1,1,2,1,1,5,5,5,2,5,4,2,4,4
i have a dog named bob. i live on an island. i am a closet cannibal. i enjoy fishing.,1,1,2,2,2,2,2,2,2,4,2,2,2,4,4,4,4,2,2,2,2,1,2,2,2,2,2,4,2,2,4,2,1,2,2,2,2,2,2,4,2,4,2,2,2,1,4,2,2,2,2,2,4,2,4,4,2,4,2,4
my dad is a veteran. i love watching funny movies. i listen to all kinds of music. i like to play tennis. my favorite color is green.,3,4,2,4,2,3,5,2,4,5,2,2,4,2,3,2,1,2,2,4,2,1,2,4,2,2,4,2,4,2,2,4,2,2,3,3,1,3,2,3,4,2,4,3,2,3,1,2,3,2,2,4,3,1,2,4,4,2,2,3
i like to play video games. i have been working the same job for two years. i am a musician. my favorite band is hop along.,2,4,2,3,1,2,4,2,4,4,2,2,4,2,4,2,2,2,4,5,2,2,2,4,2,2,3,4,3,1,4,4,2,2,5,2,2,4,2,4,3,2,4,2,2,2,2,2,2,1,2,4,4,2,2,4,3,4,2,4
i have 3 dog. i have 2 kids. my husband is a lawyer. i love flowers.,3,5,2,4,2,2,5,1,4,3,2,2,4,2,2,2,1,2,2,2,2,1,2,4,4,2,4,2,4,2,2,5,2,4,4,2,1,4,2,2,4,2,4,4,2,3,1,1,4,2,2,5,4,2,4,4,4,2,2,2
i used to be very religious. i tutor kids in my spare time. i have 3 small dogs. i have a personal trainer. i love to ride bikes.,4,5,2,4,2,2,5,1,4,4,2,1,5,2,3,2,1,4,2,2,2,1,2,4,2,1,5,2,4,2,2,5,4,2,2,2,1,4,2,4,5,2,5,4,2,2,1,1,4,1,2,5,4,2,2,4,5,1,2,2
i am overall happy with life. my favorite band is nirvana. i am a waitress at a local restaurant. i am a casual dresser. my car needs some repairs.,4,4,2,4,2,2,5,2,4,3,2,2,4,2,2,2,2,2,2,4,2,2,2,4,2,2,4,4,4,2,2,4,2,2,4,2,2,3,2,2,2,2,4,3,2,2,1,2,4,2,2,4,4,1,2,4,4,4,2,2
i like to sew. i have one cat. i am not thin. i am short. my hair is brown.,1,4,2,3,1,2,5,2,4,3,2,2,4,2,4,4,1,4,4,4,2,1,2,4,4,4,4,4,3,1,4,4,2,3,4,4,1,3,2,4,2,2,4,3,2,2,1,2,2,2,2,4,4,2,2,4,4,2,2,3
i don t have many friends. i draw during classes instead of taking notes. i like lizards. i have long hair for a boy. i wish i could live in a fantasy world.,1,4,5,2,1,1,2,4,2,4,2,2,2,4,4,5,2,1,4,5,1,1,4,2,4,4,2,4,2,1,5,2,1,4,5,5,2,1,4,5,2,4,2,2,1,1,2,4,2,4,1,2,2,4,2,2,2,5,4,5
"i flirted with the dmv officer in order to pass my driving exam. i don t have a relationship with my deadbeat dad. i still like combat boots with babydoll dresses. i want to visit rome , but i can t make myself go alone.",5,2,4,2,2,5,2,2,2,4,2,2,2,5,5,1,2,1,4,4,2,2,2,2,2,2,2,5,2,1,2,2,1,4,5,1,4,2,4,5,4,2,2,2,2,5,4,4,2,2,2,2,2,4,4,4,2,5,5,5
i am an old woman who lives on a social security check. i babysit for the woman who lives next door. i only take the bus. my favorite color is yellow. i often do not have the money to pay my utility bills.,1,5,4,1,2,1,5,2,2,1,2,1,4,4,1,4,1,1,4,1,1,1,4,1,5,4,4,4,2,2,4,5,2,5,2,4,1,2,4,1,1,2,4,2,2,1,1,1,1,2,4,5,2,5,4,1,4,2,4,1
"when things go wrong , i do everything i can to make it right. it s important to me to make my clients happy. i always answer my cellphone. i take fridays off in the summer. i work in sales.",5,5,1,4,4,5,5,1,5,3,2,1,5,1,3,1,1,2,2,1,4,1,1,4,4,1,5,1,4,2,1,5,3,2,1,2,1,5,1,2,4,1,5,4,2,5,1,1,2,1,1,5,5,1,4,5,4,1,1,2
i read autobiographies before bed. my favorite meal is chicken and rice. my favorite band is metallica. i regularly go to the gym. i have a cat named george.,2,4,1,4,2,4,5,1,4,3,2,2,5,2,2,4,2,4,2,4,2,1,2,5,2,1,3,2,4,2,2,4,4,2,2,3,1,4,2,4,4,2,4,4,2,2,2,1,4,1,1,4,4,1,2,4,3,2,1,2
i am lusting after the neighbour pool boy. i believe i hear voices. i collect toys wearing little rain coats. i enjoy mystery flavour cake.,2,4,5,1,1,2,2,4,2,5,1,2,2,5,5,1,2,1,4,2,2,2,4,1,5,2,2,4,1,1,2,2,1,4,4,4,2,2,4,5,4,4,2,1,1,2,2,4,1,1,2,2,2,4,2,5,2,5,5,5
my friends like watching it to. we drink beer and eat food. i like football. we watch the games together. it s great fun.,5,2,4,4,5,2,4,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,4,5,2,3,4,4,4,1,4,1,1,1,5,1,1,1,1,4,1,2,2,5,4,1,4,4,5,2,3,1,1,5,5,3,4,1,1
i can t stand beets. i m an ovo vegetarian. i can t cook. every day i drive an hour to work in this horrible traffic.,1,4,5,1,4,2,4,4,1,2,5,2,2,4,1,4,2,1,5,1,1,1,4,2,4,5,2,4,1,4,4,2,1,5,2,4,4,1,5,2,1,2,2,1,4,1,2,2,1,4,4,2,2,5,4,1,2,4,5,1
i ve never been to the city. i live on a small farm in ohio. i play guitar in the local band. my name is omar. i am the youngest of three brothers.,2,4,2,4,1,2,5,2,4,2,2,2,4,2,2,4,2,2,2,4,2,1,2,4,4,2,4,4,4,1,4,4,2,2,4,4,2,2,2,2,3,2,4,4,2,2,2,2,2,2,2,5,4,2,4,4,4,2,2,2
i am diabetic. i like video games. my mother worked for apple. my favorite genre of music is rock. i have never been employed.,1,4,4,2,2,2,4,4,2,4,2,2,2,4,2,4,2,2,4,4,1,2,4,2,2,4,3,4,2,2,4,3,2,4,3,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,4,3,4,2,2
i love decorating for christmas. i like classic radio programs. summer is my favorite season. i love my impala.,2,4,2,4,1,2,5,2,4,3,1,1,4,2,3,2,1,2,2,3,2,1,2,5,5,2,4,2,4,1,2,4,4,2,4,2,1,3,1,3,3,1,4,2,2,2,1,1,4,1,1,5,3,1,2,5,4,2,2,2
i like to sing broadway show tunes. my favorite tv show is dancing with the stars. i have a cat named seven of nine. i work at a coffee house. i am a student at michigan state university.,4,5,2,3,1,2,5,2,4,5,2,2,4,2,4,2,1,2,4,5,2,2,2,4,2,2,4,2,4,1,4,5,2,2,5,2,2,3,2,4,4,2,4,2,2,4,1,2,2,1,2,5,4,2,2,5,4,2,2,4
i m terrified of heights. i have four sisters. i believe that mermaids are real. i love iced tea. my mom is my best friend.,2,5,3,1,3,2,5,2,2,5,2,1,2,4,2,4,1,2,5,2,1,1,2,1,4,3,4,2,1,2,4,5,2,5,2,4,1,2,2,5,2,2,3,1,2,2,1,1,1,3,4,5,2,2,2,4,4,2,4,5
"i am obsessed with filming. i try not to think about death. sometimes , people worry i am crazy. i love to put a smile on people s faces.",5,5,2,2,1,4,5,1,5,5,1,1,2,2,5,2,1,2,2,5,2,1,1,2,2,1,4,4,2,1,2,5,2,2,5,1,1,2,2,5,5,2,2,2,1,5,1,2,2,1,1,5,5,2,2,5,4,4,4,5
i like to keep my stockpile organised. i donate any overstock to charity. i shop several times a week. i love to save money.,2,5,1,4,3,3,5,1,4,3,2,1,5,1,4,1,1,5,2,1,2,1,1,5,5,1,3,1,4,2,1,5,5,2,2,5,1,5,1,2,4,1,5,4,2,1,1,1,4,1,1,5,5,1,5,4,3,1,1,2
i like to go out to eat. one of my favorite artists is drake. i also enjoy cooking. i like listening to other rap music too. a hobby of mine is the drums.,4,3,2,4,1,3,4,2,4,4,2,2,3,2,4,2,1,2,2,4,2,1,2,4,4,2,3,2,4,1,2,3,2,2,4,4,1,3,2,3,4,2,3,3,2,3,1,2,3,1,2,4,3,1,4,5,3,2,2,3
i was once offered to play basketball professionally. i spend my evening creating the perfect music playlist. i love wearing name band clothing. i prefer the night instead of the day. i have woman calling me all the time.,5,2,2,2,1,5,3,2,4,2,1,1,2,4,4,1,2,2,2,5,5,1,1,5,5,1,2,4,2,1,1,2,2,2,4,1,2,2,1,4,5,2,2,2,1,5,2,2,5,1,1,2,2,1,2,5,2,4,2,4
i drive a restored mustang. i m a college student. i play football. i like action movies. my father is a doctor.,5,2,2,2,4,4,4,1,4,4,1,2,4,2,4,1,2,2,4,2,4,2,2,4,2,1,4,4,4,2,2,4,2,2,2,2,2,4,2,3,5,2,4,4,2,4,2,2,4,4,1,4,5,1,4,5,4,4,2,3
"i am 5 3 and am the shortest person in my family. i am the oldest sibling. my youngest sister is in first grade. my father is a school teacher , he teaches middle school.",2,4,2,2,5,5,5,2,4,4,2,2,4,2,3,4,2,4,4,2,2,2,2,3,2,2,4,4,3,2,4,4,2,2,2,4,2,4,2,3,4,2,4,4,2,2,2,2,2,5,2,5,4,2,2,5,4,2,2,3
i hate social obligations because i always say the wrong thing. i like running in marathons. i spend a lot of time watching obscure foreign film on netflix. my dad owns a appliance store that i don t want to inherit.,1,2,2,2,1,1,2,1,2,4,2,2,2,4,2,5,2,1,5,4,1,1,2,2,2,1,2,4,2,2,5,2,2,5,4,5,4,2,4,5,4,2,2,2,2,1,2,2,1,4,5,2,4,4,2,2,2,2,4,2
connor mcgreggor is my favorite fighter. i like watching ufc fights. i enjoy travel. i work in a factory.,2,2,2,2,4,4,4,2,4,3,2,2,4,2,2,2,2,2,4,1,2,2,2,4,4,2,3,2,4,2,2,4,2,2,2,2,2,4,2,2,4,2,4,2,2,2,2,2,2,2,2,4,4,1,4,4,3,2,2,2
my parents are distant. i have an older brother that has gotten into trouble. i see a therapist that does not really understand me. i have trouble feeling emotion.,1,2,4,1,4,1,4,2,1,2,5,2,2,2,2,5,4,2,5,2,1,2,4,1,4,3,2,4,1,4,4,2,2,4,2,4,2,2,2,4,1,4,2,5,4,1,4,4,4,4,4,4,2,4,4,1,2,4,1,2
i love music. i work in retail. lady gaga is my current favorite singer. madonna is my all time favorite.,4,4,2,2,1,3,5,2,4,4,1,2,4,4,2,2,2,2,3,5,2,2,2,4,2,2,3,2,3,2,2,4,2,2,5,2,2,3,2,3,4,2,4,2,2,4,2,2,2,1,2,5,3,2,2,5,4,2,4,2
"if i want it , i buy it. my mother is a professional make up artist. i sometimes think i m shallow. i love to go outside at night and eavesdrop on my neighbor s arguments. i want a dog , but that is a lot of commitment.",2,2,2,2,2,5,2,4,2,4,2,4,2,4,2,1,4,1,4,2,2,2,2,2,4,2,2,4,2,2,1,1,1,2,5,2,4,2,2,2,2,4,2,2,2,2,4,4,2,4,1,2,2,2,4,4,1,5,4,2
i am a very tall woman. i love to cook ethnic foods. i love to draw. i have very curly hair.,4,5,2,4,1,4,5,1,4,5,2,2,4,2,5,2,1,2,2,5,4,2,2,5,1,2,4,2,4,1,2,5,4,2,5,2,1,4,2,5,4,2,4,2,2,3,1,2,3,1,1,5,4,2,2,5,4,2,2,5
i like potatoes. i lease my car. i have two dogs. i work in accounting.,2,3,2,3,4,2,4,2,3,2,2,2,5,2,2,3,2,5,3,1,2,1,2,4,4,2,3,2,4,4,2,4,4,2,2,2,1,4,2,2,2,2,4,4,2,2,1,2,3,2,2,4,4,2,4,2,3,2,1,2
i have been divorced for 2 years. i love collecting teapots. my grandmother lives in my guesthouse. i am a cat person.,2,5,2,4,2,2,5,2,4,4,2,2,4,2,4,4,1,4,2,3,2,1,2,4,2,3,4,2,4,2,4,4,4,2,4,2,1,3,4,4,2,2,4,4,2,2,1,2,2,2,2,4,4,2,2,4,4,2,2,4
i have long red hair. i work at home on my computer. i own 10 cats. i do not eat asparagus.,1,5,4,4,2,2,5,4,1,4,2,2,4,4,4,4,2,2,4,4,2,2,2,5,2,5,1,4,4,2,5,4,2,4,4,4,2,4,2,4,2,2,4,1,2,2,1,2,2,2,1,4,4,2,2,3,1,4,4,5
i spend time signing a lot of petitions and donate to animal rights groups. i am a vegan. i volunteer walking dogs twice a week. i love animals.,2,5,1,4,5,2,5,1,4,3,2,1,5,2,2,2,1,2,2,2,2,1,1,5,1,1,5,1,4,2,2,5,3,2,2,2,1,4,4,4,4,2,5,2,2,2,1,1,2,1,1,5,5,2,2,5,4,1,2,2
i drive a fast car. i work for a large company. i listen to rock music. i like to eat food. i dream of winning the lottery.,4,2,2,2,4,4,3,2,4,2,2,2,2,2,2,1,2,2,4,2,4,2,2,4,4,2,2,4,4,2,1,2,2,2,2,2,2,4,2,2,5,2,4,2,2,2,2,2,2,4,1,3,4,1,4,4,2,4,2,2
i am getting married next week. we are getting married in a park. we will be traveling to niagra falls for our honeymoon. my family hates my fiancé.,2,4,2,2,3,4,4,1,5,3,1,2,4,4,3,2,2,2,5,2,2,2,2,2,5,2,2,4,2,2,2,4,2,5,3,5,2,4,2,4,4,4,4,2,2,4,1,1,2,3,1,4,5,2,4,5,2,2,4,4
i fly airplanes. my favorite band is tool. i enjoy building computers. i am in the army. i dropped out of college.,2,2,2,2,2,4,5,1,4,5,2,2,5,2,5,2,2,4,4,4,5,2,2,4,2,1,2,4,4,1,2,4,2,2,4,2,2,5,2,5,4,2,5,4,2,2,2,2,2,4,1,4,5,2,2,4,2,2,2,4
my car is pink. i have a cat named leela. i am a youtube. i make videos about makeup. my dad is an airline pilot.,5,4,2,4,1,4,5,2,5,5,1,2,4,2,5,2,1,2,4,4,4,2,2,5,2,2,5,4,4,1,2,5,2,3,5,1,1,4,2,4,5,2,4,4,2,5,2,2,4,2,1,5,5,1,2,5,4,4,5,5
my sister is a published author. i was a champion downhill skier in college. i sing karaoke every thursday night. my favorite color is yellow.,5,3,2,4,1,5,5,1,5,5,1,2,4,2,5,1,1,2,2,5,4,1,1,5,1,1,4,2,4,1,2,4,2,2,5,2,2,4,2,5,5,2,4,2,1,5,1,2,4,1,1,4,4,1,2,5,4,2,2,5
i sleep a lot. i love sweets. i am in high school. i cs and ds. i love bruno mars.,2,3,4,2,2,2,4,5,2,2,2,2,2,4,2,4,2,2,3,2,2,2,5,3,4,5,3,4,2,3,4,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,2,4,2,4,2,2,2,3,3,4,3,2
i love to travel. i enjoy skiing. i am from russia. i go to school for business. my favorite music is rock and roll.,4,3,2,3,2,4,5,1,4,5,1,2,4,2,3,2,1,2,2,4,3,1,2,4,2,1,3,2,4,2,2,4,2,2,2,2,1,4,2,4,5,2,4,4,2,3,2,1,4,1,2,5,4,1,2,5,4,2,2,4
i enjoy fishing. i love to cook. i work for an architect firm. i have three dogs. i am looking for someone.,3,4,2,4,2,3,5,1,4,4,2,2,4,2,4,2,1,4,2,2,2,1,2,4,2,2,4,2,4,2,2,4,4,2,4,2,1,4,2,4,4,2,4,4,2,2,1,1,3,1,2,5,4,2,2,4,4,2,2,4
"i have 2 dogs , both golden retrievers. i am on a keto diet. i like going to the moves. my father and grandfather also worked in the circus.",4,5,2,4,2,4,5,2,4,4,2,2,4,2,4,2,1,2,2,2,2,1,2,4,2,2,4,2,4,2,2,5,2,2,4,2,1,4,2,4,4,2,4,4,2,2,1,1,4,1,2,5,4,1,2,5,4,2,2,4
my name is omar. i ve never been to the city. i live on a small farm in ohio. i am the youngest of three brothers. i play guitar in the local band.,2,4,2,4,1,2,5,2,4,2,2,2,4,2,2,4,2,2,2,4,2,1,2,4,4,2,4,4,4,2,4,4,2,2,4,4,2,4,2,2,3,2,4,4,2,2,2,2,2,2,2,5,4,2,4,4,4,2,2,3
my name is gerald. i like basketball. i work at mcdonalds. my favorite color is green.,2,3,2,2,2,2,4,2,3,2,2,2,4,2,2,2,2,2,2,1,2,1,2,4,2,2,3,2,3,2,2,4,2,2,2,2,2,3,2,2,4,2,4,3,2,2,2,2,2,2,2,4,4,2,4,4,3,2,2,2
my favorite place to spend time at is the beach. i love to read. i have 3 sisters and 2 brothers. i have a masters degree in creative writing. i live in a medium sized city.,2,4,2,4,1,2,5,2,4,4,2,1,4,2,4,4,1,2,2,5,2,1,2,4,1,2,4,2,4,1,4,4,3,2,5,2,1,4,2,5,2,2,4,4,2,2,1,1,4,1,2,5,4,2,2,4,4,2,2,4
my father use to drive a taxi cab in the 1970s. i have been to canada two times my entire life. my uncle use to work on fish boats in florida. i have never been to the west coast of the united states.,2,4,4,2,4,2,4,3,2,2,4,2,4,3,2,4,2,2,3,2,2,1,3,3,5,3,3,4,3,4,3,3,2,3,2,4,2,3,3,2,2,2,3,3,2,2,2,2,2,4,2,4,3,3,4,2,3,3,2,2
i love nighttime. my favorite food is pizza. i am an artist. i have a cat named charlie. i just bought new hoop earrings.,2,4,2,4,1,2,4,2,4,4,2,2,2,4,5,2,1,2,2,5,2,1,2,4,2,2,4,4,2,1,4,4,2,2,5,2,1,2,2,4,2,2,2,2,1,2,1,2,2,1,2,4,2,2,2,5,4,2,2,5
i like to read. yellow is my favorite color. i love to workout. i love the game halo. i work for a magazine.,2,3,2,4,1,4,5,1,4,5,1,1,4,2,4,2,1,2,2,4,2,1,2,4,1,1,4,2,4,1,2,4,2,2,2,2,1,4,1,4,5,2,4,4,2,2,1,1,4,1,1,4,5,1,2,5,4,2,1,4
i love to ride my bike. i like going to the beach. i have a dog named george. i used to work for a cable company. i like my job.,3,4,2,4,5,3,5,1,4,3,1,1,4,1,2,2,1,2,2,1,2,1,2,4,5,1,4,2,4,2,2,4,2,2,2,2,1,4,1,2,4,1,4,4,2,2,1,2,4,1,2,4,4,1,4,5,4,2,1,2
i talk in my sleep. i watch a movie sundays evenings. i like tacos. i love folk metal. i own a cat.,2,4,2,4,1,2,4,4,3,4,2,2,3,2,2,2,2,2,2,4,2,1,2,4,2,4,3,3,2,2,4,3,2,2,4,3,2,2,2,4,2,2,3,2,2,4,2,2,2,2,2,4,2,2,2,4,4,4,2,3
i surf everyday. i work at a bar. i can play piano. i like to listen to country music. people say i can cook well.,5,4,2,5,1,4,5,1,4,4,1,2,4,2,3,2,1,2,2,4,2,1,2,5,2,1,4,4,4,1,2,4,2,2,4,2,2,4,2,2,5,2,4,4,2,2,1,2,4,1,2,4,4,1,2,5,4,4,2,3
my dad owns a appliance store that i don t want to inherit. i prefer eating at home because people make me nervous. i spend a lot of time watching obscure foreign film on netflix. i hate social obligations because i always say the wrong thing. i like running in marathons.,1,2,2,2,1,1,3,1,2,2,4,2,2,4,2,5,2,2,5,4,1,1,2,2,2,1,2,2,2,2,5,2,4,5,4,5,4,2,4,5,4,4,2,4,2,1,2,1,1,4,2,2,5,4,2,1,2,2,2,2
i have a cat named kj. i have lived in several different states. i like to cook. my husband was a salesman.,2,4,2,4,2,2,5,2,4,4,2,2,4,2,4,3,1,2,3,2,2,2,2,4,2,2,4,2,4,2,2,4,2,2,2,2,1,4,2,4,2,2,4,4,2,2,1,2,2,2,2,4,4,2,2,3,4,2,2,3
